,per,pbr,roe,revenue_growth
CAG,18.67,2.28,12.69,12.1
CXO,NA,1.23,-74.38,-58.2
CCM,NA,3.82,-14.02,-16.6
CNMD,74.85,3.49,0.06,-33.8
COP,16.45,1.15,7.37,-65.2
CCR,9.93,0.44,3.98,-62.3
CEIX,34.25,0.25,1,-67.3
ED,20.43,1.5,7.77,-0.9
STZ,31.73,3.01,9.49,-3.6
CSTM,389.13,NA,NA,-33
TCS,228.5,1.75,0.73,-27.6
CLR,16.2,0.78,-1.15,-83.8
VLRS,6.98,3.63,NA,-81.7
CTRA,0.49,0.33,-74.61,-37.2
CTB,28.66,1.53,5.3,-26.9
CPS,3.82,0.44,-41.59,-55.5
CTK,NA,10.26,-62.9,236.2
CPA,9.53,1.37,-11.78,-97.7
CLB,12.08,10.64,-61.49,-31.5
CXW,6.51,0.69,10.5,-3.6
CLGX,33.83,5.45,16.72,3.9
CORR,NA,2.02,-97.1,-53.7
CPLG,NA,0.36,-27.84,-67.1
COR,64.87,47.53,46.83,5.3
CNR,NA,2.95,NA,-16.3
GLW,249.71,2.73,1.58,-12.9
CAAP,8.44,0.46,-16.06,-80.2
OFC,25.22,1.72,6.93,-17.2
CTVA,54.82,1.04,1.88,-6.6
CZZ,11.71,3.87,17.48,-17.7
CMRE,8.29,0.63,2.12,-4.4
COTY,NA,0.83,-24.04,-73.5
CUZ,11.81,0.93,7.58,24.6
CVA,190,3.82,-5.46,-2.8
CPF,8.8,0.75,8.87,-8.8
CR,82.5,2.22,2.43,-19.5
BAP,21.15,1.49,6.78,-81.7
CS,5.68,0.49,9.27,6.2
CPG,NA,0.33,-77.07,-71.7
CEQP,6.65,0.49,1.45,-48.4
CRH,19.01,1.7,9.06,-4.9
CRT,6.46,4.49,66.91,-32.6
CAPL,6.42,4.95,79.86,-37.7
CCK,22.9,6.1,29.33,-11.4
CRY,498.6,2.43,-3.86,-24.4
CTS,39.02,2.07,5.39,-30.2
CUBE,42.52,3.84,8.87,3
CUB,187.41,2.04,-2.09,-8.4
CFR,12.44,1.08,9.38,-11.6
CULP,20.12,1.23,-10.8,-8.8
CMI,19.72,4.57,19.75,-38.1
CURO,3.06,3.56,152.54,-30.9
CW,16.28,2.35,15.14,-13.9
CWK,NA,2.49,-12.18,-17.8
CUBI,6.13,0.51,8.04,30.7
CVI,18.09,1.08,-0.06,-60
UAN,NA,0.24,-26.01,-23.7
CVS,9.47,1.15,12.73,3.2
CELP,9.04,0.58,18.9,-53.5
DHI,14.28,2.59,19.42,9.9
DEH,NA,NA,NA,NA
DAN,27.2,1.31,3.32,-53.3
DHR,56.92,4.85,8.6,19.2
DAC,1.39,0.22,15.86,4
DQ,51.96,5.04,10.39,102.4
DRI,17.38,5.42,-7.72,-28.4
DAR,17.46,2.68,16.57,2.6
DVA,14.46,5.04,23.14,1.3
DCP,NA,0.47,-10.39,-27.6
DECK,26.21,6.47,26.97,2.3
DE,27.98,5.84,21.58,-11.2
DKL,8.24,NA,NA,-24.3
DK,4.61,0.55,-6.76,-38.1
DELL,25.51,274.25,58.77,-2.7
DAL,4.86,5.95,-114.32,-75.6
DLX,NA,2.24,-46.24,-16.9
DEN,NA,1.06,-50.84,-65.7
DBI,17.28,0.97,-48.98,-42.8
DESP,186.5,4.64,-46.15,NA
DB,NA,0.27,-3.5,-7.6
DVN,NA,1.12,-42.89,-54.4
DHX,45.6,0.81,2.14,-9.6
DHT,3.04,0.85,28.99,131.6
DEO,44.64,9.23,15.64,-23.6
DSSI,2.99,0.22,7.32,22.9
DRH,27.33,0.55,2.1,-92.1
DSX,25.38,0.28,-23.82,-26
DKS,20.36,2.84,14.12,20.1
DBD,NA,NA,NA,-22.6
DLR,56.36,2.81,5.11,22
DDS,11.73,0.75,-6.46,-35.2
DIN,13.47,NA,NA,-51.9
DFS,20.66,2.34,9.93,-70.2
DMYT,NA,NA,NA,NA
DMYD,NA,NA,NA,NA
DLB,28.64,2.87,10.45,-18.3
DG,24.1,7.51,33.17,24.4
D,124.32,2.56,2.11,-9.7
DPZ,38.3,NA,NA,17.9
UFS,112.38,0.65,0.41,-23.2
DCI,25.48,6.53,26.96,-15.1
DFIN,19.27,1.71,9.43,-1.9
LPG,4.2,0.48,12.35,17.9
PLOW,20.93,4.42,-37.57,-31.9
DEI,13.17,1.76,9.15,-10.8
DOV,24.71,5.31,22.34,-17.2
DVD,10.54,0.87,-2.12,-99.6
DOW,NA,2.9,-12.17,-24.2
RDY,44.89,5.17,12.12,14.9
DGNR,NA,NA,NA,NA
DRD,25.34,4.34,18.87,37.4
DRQ,552.2,0.86,-2.63,-12.9
DS,NA,24.36,-159.15,-55.2
DTE,18.85,1.96,10.72,-10.6
DCO,13.82,1.33,10.38,-18.4
DUK,32.61,1.55,4.21,-7.7
DRE,38.1,2.89,7.7,0.9
DNB,NA,8.74,NA,5.4
DD,NA,1.18,-6.28,-11.7
DXC,NA,1.12,-70.86,-7.9
DY,120.56,2.42,2.04,-6.8
DLNG,36.29,0.28,4.43,10
DT,NA,12.37,-129.23,26.9
DX,3.81,0.94,19.71,NA
ELF,68.32,4.32,6.67,8
EXP,30.47,3.63,11.85,15.5
ESTE,9.09,0.54,2.58,-51.4
DEA,246.78,1.56,0.69,14.7
EGP,45.39,4.54,10.84,9.4
EMN,20.36,1.94,9.7,-18.6
KODK,NA,0.66,-73.26,-30.6
ETN,29.2,3.06,10.11,-30.3
EV,24.55,5.56,19.5,-2.4
ECL,42.41,9.82,19.83,-15.3
EC,9.06,1.51,15.03,-53.9
EPC,18.96,1.21,6.41,-20.6
EIX,18.44,1.51,7.6,6.2
EW,72.72,13.82,20.26,-14.9
ELAN,144.89,2.24,-1.71,-25
ESTC,NA,24.04,-42.01,43.7
EGO,17.05,0.7,3.76,47.4
ESI,41.73,1.44,3.61,-15.3
ELVT,3.04,0.67,24.9,-21.5
LLY,25.59,36.66,157.61,-2.4
EFC,9.5,0.83,-7.67,131.2
EARN,7.74,0.88,11.55,NA
ERJ,NA,0.3,-23.4,-47
EME,25.1,2.01,8.37,-13.3
EEX,NA,0.6,-120.94,-93.2
EBS,30.52,4.37,15.57,62.3
EMR,21.74,5.31,23.79,-16.4
ESRT,46.07,1.73,2.38,-20.4
EIG,11.14,0.79,7.87,3.5
EDN,1.07,0.17,-9.01,-31
ENBL,7.7,0.28,4.06,-29.9
ENB,40.92,1.32,3.34,-40
EHC,23.63,4.63,19.29,-5.4
DAVA,132.25,11.69,10.63,18.1
EXK,NA,4.34,-33.71,-28.6
ENIA,6.73,0.98,18.8,-31.8
ENIC,24.13,1.1,-2.54,-2.9
ENR,24.11,7.41,28.33,1.7
ET,11.87,0.86,6.89,-47.1
EPAC,218.78,3.28,1.68,-29.7
ERF,NA,0.63,-68.49,-61.9
ENS,25.38,2.29,9.29,-9.7
E,197.5,0.59,-19.36,-55.4
ENLC,NA,0.79,-26.35,-54.9
EBF,14.85,1.5,10.07,-20.4
ENVA,5.19,1.32,25.42,-53.6
NPO,96.94,1.14,-0.96,-22.1
ETM,NA,0.25,-47.3,-53.8
ETR,17.34,2.05,11.88,-9.5
EPD,8.53,1.53,18.09,-30.5
EVC,NA,0.68,-13.78,-34.8
ENV,NA,5.12,-1.41,4.8
NVST,557.49,1.2,0.18,-49.2
EVA,288.8,3.93,8.04,-0.2
ENZ,129,1.65,-38.45,-6.7
EOG,63.47,1.09,1.72,-73
EPAM,68.84,11.12,18.5,14.6
EPR,200,0.6,1.17,-35.6
EQT,NA,0.39,-19.03,-44.7
EFX,66.28,7.32,11.42,11.7
EQNR,28.24,1.3,-5.68,-55.2
EQH,72.36,0.54,1.94,NA
ETRN,NA,1.14,-1.18,-16.1
EQC,6.94,0.92,13.5,-51.3
ELS,50.88,9.52,18.81,1.4
EQR,17.17,1.83,10.76,-2.4
ESGC,NA,1.64,-101.86,-58.7
ESE,30.93,2.42,8.44,-3.1
ESNT,9.23,1.32,14.43,11.4
EPRT,31.06,1.49,4.45,17.5
WTRG,35.14,2.19,6.6,75.6
ESS,21.22,2.14,10.33,2.4
EL,120.54,20.58,16.63,-32.3
ETH,50.44,1.31,2.57,-50.2
EURN,3.05,0.7,25.98,156.7
EB,NA,2.65,-60.22,-89.6
EVR,14.03,3.52,26.99,-4.5
RE,15.51,0.87,5.83,12.3
EVRG,20.19,1.46,7.43,-3
EVRI,37,11.7,NA,-70.2
ES,26.19,2.27,8.92,3.6
EVTC,29.9,9.38,34.56,-3.8
EVH,NA,1.51,-56.57,24.3
AQUA,35.21,6.49,21.02,-3.5
XAN,13.72,0.22,-48.78,NA
EXPR,NA,0.33,-114.95,-48
EXTN,NA,0.45,-32.01,-56.1
EXR,34.53,6.23,16.64,1.7
XOM,20.3,0.8,3.65,-52.2
FNB,7.57,0.5,6.82,-8
FN,21.07,2.39,12.35,0
FDS,35.19,14.36,47.49,5.3
FICO,56.66,51.29,89.94,-0.2
SFUN,NA,0.17,-7.8,-1.1
FTCH,NA,12.41,-74.27,74.3
FPI,134.8,0.69,1.56,-3.9
FSLY,NA,18.46,-13.02,61.7
FBK,12.79,1.61,9.08,24.4
FFG,14.94,0.78,5.64,4
AGM,8.67,1.41,12.36,5.3
FRT,20.72,2.47,10.62,-25.3
FSS,18.8,2.89,16.66,-16.7
FHI,9.04,2.47,25.5,12.2
FDX,41.87,3.83,9.49,13.3
RACE,58.34,29.59,37.38,-42
FOE,39.29,3.13,7.84,-21.5
FCAU,28.94,0.86,NA,NA
FNF,11.06,1.52,14.28,12.9
FIS,630.39,1.82,0.13,40.2
FINV,2.27,0.56,25.78,15.9
FAF,9.37,1.3,14.97,7.3
FBP,12.79,0.61,4.87,-26.4
FCF,10.28,0.78,7.82,-4.1
FHN,11.38,1.26,6.09,-10.5
FR,21.35,3.06,14.8,5.1
AG,NA,3.64,-11.48,-58.3
FE,31.83,2.39,7.48,0.2
FIT,NA,4.44,-48.59,-16.7
FPH,67.23,1.12,-2.48,96.2
FVRR,858.35,21.26,-10,81.9
FBC,6.43,0.92,15.55,53.6
FLT,28.66,6.98,22.52,-18.8
FLNG,138.8,0.46,0.34,35.4
FND,61.78,10.4,19.11,-11.1
FTK,NA,1.93,-74,-74.4
FLO,53.09,3.95,7.43,5.1
FLS,26.17,2.27,8.96,-6.6
FLR,NA,1.03,-75.27,-4.6
FEAC,NA,NA,NA,NA
FMC,25.78,5.01,19.52,-4.2
WPF,NA,NA,NA,NA
FMX,75.35,1.77,4.28,-10.7
FL,21.16,1.65,7.89,17.1
F,674,0.99,-6.34,-50.1
FOR,17.19,1.04,6.47,101.7
FTS,20.54,1.41,7.04,5.4
FTV,47.15,3.07,7.74,-15.7
FVAC,NA,NA,NA,NA
FSM,50.1,1.89,0.17,-34.5
FBHS,29.12,5.07,18.08,-8.7
FET,NA,0.15,-80.49,-53.9
FBM,16.31,1.77,11.46,-13.2
FCPT,24.83,2.72,10.91,3.4
FEDU,30.24,0.42,-17.11,-31.5
FNV,125.38,5.28,4.26,14.5
FC,58.12,4.46,-6.92,-33.7
BEN,11.52,1.16,8.4,-19.5
FI,NA,0.54,-36.94,-44.7
FCX,NA,2.78,-3.53,-13.9
FMS,16.76,1.84,12.05,4.9
FDP,51.31,0.69,1.35,-11.9
RESI,NA,1.57,-20.09,6.9
FRO,2.79,0.79,32.21,100.1
FCN,22.27,2.82,13.42,0.3
FF,4.57,1.4,29.46,-33.1
GLEO,NA,NA,NA,NA
GBL,5.55,4.51,122.23,-24.7
GME,NA,2.56,-57.56,-26.7
GCI,NA,0.44,-113.02,89.7
GPS,4.71,3.2,-35.32,-18.2
IT,49.08,11.71,24.48,-9.1
GLOG,NA,0.43,-9.48,1.2
GLOP,NA,0.18,-5.29,-9
GTES,50.54,1.41,2.58,-28.8
GATX,12.63,1.28,10.45,1
GCP,72.1,3.3,4.55,-25.5
GNK,NA,0.38,-16.51,-11.2
GNRC,52.18,11.91,24.12,0.9
GD,12.63,2.94,NA,NA
GE,18.08,1.79,8.37,-24.2
GIS,16.68,4.52,26.48,9
GM,31.86,1.22,3.59,-53.5
GCO,9.46,0.64,-18.95,-19.6
GEL,51.78,0.32,-11.46,-38.8
GNE,19.8,2.94,12.87,24.7
G,23.79,4.46,19.62,2.1
GPC,672.8,5.11,0.75,-14.2
GNW,10.23,0.12,1.45,7.2
GEO,8.85,1.4,14.82,-4.3
GPRK,11.87,70.46,-133.14,-67.2
GGB,42.26,1.27,3.27,-13.9
GTY,22.44,1.85,8.36,7.9
GFL,NA,1.65,-15.51,19.5
GIX,NA,NA,NA,NA
GIK,NA,NA,NA,NA
GIL,23.42,3.1,-12.86,-71.3
GLT,NA,1.21,-5.72,-8
GKOS,107.86,3.69,-16.67,-46.1
GSK,10.58,5.19,63.64,-2.4
GB,364.45,19.38,0.67,-4.7
CO,5.77,0.71,13.28,2.8
GMRE,175,1.83,2.38,30.7
GNL,69.96,0.9,2.41,6.6
GLP,5.78,0.97,18.72,-58.1
GPN,138.33,1.93,2.58,78.8
GSL,6.74,0.32,9.28,13.1
GLOB,147.47,10.12,8.87,16
GL,12.54,1.13,10,4.5
GMED,63.63,4.05,6.78,-23.4
GMS,45.69,1.69,3.84,-5.3
GOAC,NA,NA,NA,NA
GDDY,92.11,15.08,-140.16,9.4
GOL,NA,NA,NA,-88.6
GFI,43.93,3.97,8.86,27.3
GS,11.42,0.76,5.86,26.6
GRC,29.53,2.75,9.45,-20.8
GPX,18.28,0.89,4.91,-29
GGG,41.63,10.61,27.71,-14.3
EAF,3.66,NA,NA,-41.6
GHM,NA,1.48,-0.03,-18.9
GHC,12.6,0.65,5.55,-11.5
GRAM,NA,0.94,-40.2,-49
GVA,NA,0.76,-6.95,3.1
GPMT,23.17,0.41,-0.39,-27.5
GPK,34.16,2.69,7.3,3.7
GTN,7.95,0.88,10.53,-11.2
AJX,9.08,0.55,6.08,-23
GWB,8.83,0.67,-42.19,-19.3
GDOT,61.67,3.24,5.33,15.3
GBX,13.21,0.85,8.89,-10.9
GHL,35.1,20.75,91.03,-3.1
GHG,35.02,4.84,12.92,-21.4
GFF,21.55,2.69,9.95,9.9
GPI,16.1,1.9,12.28,-29.1
GRUB,851.5,5.3,-7.19,41.3
PAC,24.34,4.81,19.53,-59.4
ASR,13.22,2.11,10.18,-56.6
AVAL,7.99,0.99,14.19,-21
SUPV,NA,0.43,-0.33,24.5
TV,22.46,1.31,-3.16,-7.8
GSX,522.62,111.84,23.64,366.6
GTT,NA,1.5,-58.14,-5.7
GSH,13.21,0.29,-2.18,-27.2
GES,28.98,1.87,-16.52,-41.7
GWRE,427.6,5.32,-1.68,17.2
HRB,14.18,24.87,115.21,299.7
FUL,22.51,1.96,9.27,-4.7
HAE,51.26,7.94,15.93,-18
HAL,NA,2.07,-55.08,-46.1
HBB,9.48,4.69,50.65,5.5
HBI,12.04,5.59,47.28,-1.3
HNGR,16.71,31.76,NA,-17
HASI,34.29,3.22,9.41,48.8
HOG,57.14,2.7,4.39,-47
HMY,NA,2.42,-3.7,4.9
HSC,130,1.67,1.34,27.5
HIG,7.61,0.81,11.27,-0.6
HVT,17.8,1.8,10.4,-42.7
HE,17.69,1.63,9.28,-14.9
HCHC,NA,0.35,-15.76,-21.3
HCA,14.22,NA,NA,-12.2
HCI,16.7,2.02,11.72,37.7
HDB,27.44,4.08,NA,1.9
HR,37.56,2.15,5.93,6.3
HTA,185.07,1.72,0.99,4
PEAK,43.6,2.05,4.8,19.7
HL,NA,1.73,-3.56,24
HEI,45.81,7.91,18.15,-27.4
HLX,14.1,0.26,1.88,-1.3
HP,NA,0.47,-10.52,-53.9
HLF,22.75,NA,NA,8.6
HRTG,9.42,0.65,7.26,10.7
HT,NA,0.29,-12.16,-88.5
HSY,29.34,17.78,62,-3.4
HTZ,NA,0.7,-132.19,-66.9
HES,NA,1.83,-33.28,-49.4
HESM,13.92,2.47,20.43,41.8
HPE,11.64,0.75,0.01,-5.6
HXL,15.97,2.12,13.54,-37.8
HEXO,NA,0.86,-85.85,70
HPR,NA,21.73,-200.25,-57.6
HIW,11.36,1.54,13.52,-0.3
HIL,13.27,0.77,6.22,-1.7
HI,14.07,2.27,-2.38,36
HRC,29.03,3.62,12.73,5.6
HTH,7.21,0.87,13.43,31.7
HGV,23.39,3.58,16.85,-75.7
HLT,682.15,NA,NA,-82.5
HNI,18.87,2.75,15.21,-20.6
HMLP,9.25,0.79,11.78,2
HEP,5.86,3.52,44.19,-12.2
HFC,20.66,0.64,-1.04,-56.9
HD,26.32,NA,NA,23.4
HMC,22,0.56,2.89,-46.9
HON,21.51,6.76,32.62,-19.1
HMN,13.69,0.88,6.85,-30.6
HZN,NA,2.01,NA,-37.5
HRL,29.14,4.27,15.28,4
HST,91.83,1.16,1.3,-94.8
HLI,22.63,3.71,17.8,-15.7
HOV,30.85,NA,NA,30.3
HHC,63.95,0.98,-3.67,-63.8
HWM,14.41,2.39,14.17,-31.1
HPQ,11.01,NA,NA,-2.1
HSBC,25.29,0.43,0.96,-35.9
HMI,11.92,2,19.16,9.5
HNP,23.77,0.32,3.81,2.5
HUBB,20,4,20.92,-20.7
HUBS,NA,19.67,-10.8,24.7
HBM,NA,0.7,-21.07,-36.6
HUD,20.59,1.76,-26.05,-87.9
HPP,38,0.99,2.67,1.2
HUM,16.64,4.02,26.64,17.5
HCFT,10.04,0.62,6.11,17.9
HII,11.45,3.56,31.94,-7.4
HUN,72.65,1.71,3.42,-30.1
HUYA,51.54,3.53,7.76,34.2
H,22.39,1.56,7.79,-94.8
HYLN,NA,NA,NA,NA
HY,20.82,1.38,6.37,-23.6
IAA,47.33,NA,NA,-19
IAG,NA,0.8,-11.84,15.5
IBN,25.86,2.19,9.24,26.6
ICL,61.83,1.28,1.94,-15.6
IDA,18.73,1.76,9.59,0.6
IEX,39.25,6.44,17.15,-12.6
IDT,13.35,3.68,34.35,1.2
INFO,35.51,3.77,10.92,-3.5
ITW,29.97,27.34,80.18,-29
IMAX,19.5,1.5,-10.13,-91.6
ICD,NA,0.05,-24.76,-59.6
IHC,346.18,1.22,0.37,12.6
IRT,36.12,1.82,4.8,2.6
IBA,12.22,0.99,8.48,-2.7
INFY,26.31,6.73,26.7,3.2
ING,8.67,0.47,5.44,-16.5
IR,78.25,1.8,-2.81,101
NGVT,15.16,4.83,36.75,-23.3
INGR,15.32,2.01,13.64,-13
IIPR,46.21,2.98,6.73,182.5
IPHI,NA,17.99,-21.34,103.2
NSP,18.42,65.18,178.47,-4.8
INSP,NA,14.54,-29.35,-32.4
IBP,42.06,12.59,34.14,6
ITGR,30.5,1.87,6.38,-23.6
ICE,26.37,3.38,12.69,7.5
IHG,22.48,NA,NA,-48.3
IFS,21.62,1.29,5.69,NA
IBM,14.91,5.7,40.97,-5.4
IFF,31.17,2.08,6.84,-7.2
IGT,NA,2.08,-23.82,-48.4
IP,28.29,2.54,8.7,-14.1
INSW,4.44,0.41,9.88,102.5
IPV,NA,NA,NA,NA
IPG,15.74,2.91,17.73,-12.8
IPI,16.9,0.33,-3.38,-27.2
IVC,NA,0.9,-13.44,-16.8
IVR,7.05,0.85,-88.72,NA
IVZ,13.97,0.68,4.62,-1.4
IRET,13.24,1.73,11.72,-6.4
NVTA,NA,18.32,-104.39,-13.6
INVH,84.67,1.89,2.2,1.9
IO,NA,NA,NA,-45.6
IQV,241.79,5.54,2.52,-8
IRM,39.5,7.78,14.41,-7.9
IRS,NA,0.49,4.6,62
ITCB,13.07,0.41,NA,-30.6
ITUB,11.98,1.72,11.16,-30.8
ITT,17.93,2.7,15.85,-28.5
JPM,13.25,1.28,9.53,2.5
JAX,7.15,0.75,-18.47,-55.6
JILL,NA,0.49,"-1,091.83",-48.7
SJM,15.59,1.61,10.54,10.8
JBL,103.74,3.02,3.05,11.1
J,43.19,2.22,5.59,2.9
JHX,71.47,11.03,16.26,-4.6
JHG,74.03,1.16,1.63,-3.3
JWS,NA,NA,NA,NA
JBGS,72.14,1.01,1.44,-11.1
JEF,9.31,0.55,NA,49.2
JELD,53.81,3.06,5.89,-11.3
JCAP,16.93,1.08,-6.58,-5
JT,NA,0.54,-29.52,-61
JKS,16,2.02,11.82,22.2
JMP,NA,0.89,-32.48,6.9
JBT,20.93,4.75,25,-16.6
JNJ,23.14,6.15,NA,1.7
JCI,43.94,1.78,4.76,-17.2
JLL,12.96,1.12,9.72,-22.1
JMIA,NA,9.31,-99.9,-10.9
JIH,NA,NA,NA,NA
JNPR,22.28,1.67,7.72,-1.5
JP,NA,0.33,-9.9,-41.7
JE,NA,NA,NA,-11.5
LRN,50.15,1.84,3.75,4.9
KAI,28.1,3.13,11.77,-13.7
KDMN,NA,5.89,-85.81,853.8
KAMN,27.85,1.5,5.98,1.8
KSU,30.65,3.83,11.54,-23.3
KAR,121.14,1.41,1.05,-41.7
KB,4.89,0.39,8.28,5.2
KBH,12.3,1.56,12.98,-13.9
KBR,17.24,2.08,-0.35,-2.6
BEKE,NA,16.02,NA,75.9
K,21.25,8.02,33.36,0.1
KMPR,9.95,1.03,11.28,-1.9
KMT,36.21,2.28,-0.38,-37.2
KW,16.08,1.62,9.26,-25.3
KEN,3.87,1.19,34.09,-10.6
KCAC,NA,NA,NA,NA
KEY,11.65,0.81,7.01,-19.7
KEYS,33.23,5.9,19.23,-7
KRC,32.71,1.22,4.15,9.4
KRP,NA,1.03,-41.73,-42.3
KMB,20.58,195.12,955.23,0.4
KIM,4.88,0.86,18.75,-16.1
KMI,185.57,0.93,0.67,-20.3
KFS,NA,7.21,-24.06,-15.6
KGC,12.96,2.06,17.42,20.2
KEX,25.73,0.77,-8.49,-29.8
KL,17.14,2.94,22.43,106.6
KRG,NA,0.76,-0.67,-22.3
KKR,131.93,2.18,-2.17,25.9
KREF,23.96,0.99,3.96,49
KNX,25.14,1.25,5.11,-14.6
KNL,21.46,1.59,7.18,-25.4
KNOP,10.06,0.66,7.63,-0.9
KN,102.93,1.14,1.15,-25.8
KSS,7.81,0.66,-2.06,-23.1
PHG,36.66,3.33,8.87,-5.9
KTB,238.67,24.76,39.06,-42.7
KOP,7.09,2.97,51.71,-1.6
KEP,NA,0.2,-1.2,0
KFY,56.62,1.43,2.62,-29
KOS,NA,1.04,-60.05,-67.8
KRA,4.81,0.92,21.55,-28.2
KR,10.39,2.69,27.04,8.2
KRO,22.84,2.04,8.73,-20.3
KT,8.89,0.4,4.41,-3.6
LB,17.79,NA,NA,-20.1
SCX,5.45,0.45,-33.76,-30.5
LHX,21.96,1.7,NA,187.4
LH,54.1,2.64,4.99,-3.9
LADR,15.87,0.6,3.62,-91.8
LAIX,NA,NA,NA,-2.5
LW,31.47,32.04,160.03,-11.9
LCI,NA,0.89,-10.48,3
LPI,1.55,0.3,-113.6,-49
LVS,103.95,9.39,7.49,-97.1
LAZ,16.07,6.46,36.97,-9.2
LZB,25.3,2.27,9.3,-31
LCII,28.06,3.63,13.51,-16.4
LEAF,NA,4.28,-41.36,42.4
LEA,52.71,2.03,4.55,-51.2
LEE,9.06,NA,NA,43.4
LGC,54.89,3.17,-25.5,NA
LEG,27.25,4.96,18.43,-30.3
LDOS,20.75,3.53,17.72,6.8
LEJU,18.33,1.17,6.81,-17.7
LMND,NA,15.46,-49.4,116.7
LC,NA,0.48,-15.64,-68.8
LEN,11.86,1.54,13.73,0.2
LII,32.83,NA,NA,-14.4
LEVI,18.44,5.24,-6.62,-26.5
LPL,NA,0.52,-22.08,-0.9
DFNS,NA,NA,NA,NA
LBRT,21.32,1.59,-8.33,-83.7
LSI,21.31,2.58,12.21,1.3
LITB,9.68,7.63,591.69,95.9
LSPD,NA,11.13,-24.28,50.5
LNC,30.94,0.32,1.16,-18.4
LIN,54.67,2.65,4.67,-11.5
LNN,45.42,4.09,9.2,1.7
LN,NA,9.05,-27.16,5.3
LINX,1.46k,3.69,0.17,10.8
LAD,23.4,4.79,19.74,-14.4
LAC,25.79,8.02,40.77,NA
LYV,NA,34.69,-54.37,-97.7
LOAK,NA,NA,NA,NA
LTHM,99.73,2.81,2.87,-43.1
RAMP,NA,3.62,-9,20.5
LYG,64.76,0.38,1.63,-69.5
LMT,16.94,28.8,193.03,12.4
L,14.83,0.57,-8.04,-36.2
LOMA,25.04,1.36,6.53,-30.1
LGVW,NA,NA,NA,NA
LPX,153.85,3.46,1.04,-6.8
LOW,23.33,30.56,163.64,30.1
LXU,NA,0.31,-15.61,-13.6
LTC,13.33,1.79,13.41,-40
LUB,NA,1.23,-52.53,-74.6
LL,24.97,4.56,20.3,-20.2
LXFR,26.69,2.08,7.8,-23.2
LDL,NA,1.29,-40.52,-33.8
LYB,12.68,3.49,22.15,-38.7
MTB,9.41,0.88,9.38,-22.8
MDC,12.66,1.75,14.96,22.4
MHO,8.37,1.28,16.6,14.5
MAC,18.9,0.44,2.18,-30.1
CLI,10.34,0.77,-3,-17.1
MIC,66.8,0.85,1.18,-37.3
BMA,2.75,0.55,52.2,26
M,6.4,0.82,-84.99,-34.9
MSGE,95.75,0.58,-0.53,NA
MSGS,NA,1.57,-9.48,NA
MMP,8.66,3.41,38.52,-34.4
MGA,5.37,1.63,-2.91,-57.6
MX,134.22,79.54,NA,-15.7
MGY,25.39,2.51,-105.6,-65.9
MNK,NA,0.01,NA,NA
MANU,100.67,4.28,-2.05,-18.6
MTW,48.22,0.49,1.1,-35
MN,36.12,0.89,8.12,-11.5
MAN,19.88,1.68,8.48,-30.4
MFC,9.55,0.75,7.15,24.2
MRO,17.28,0.3,-5.59,-64.4
MPC,6.38,0.84,-21.91,-55
MMI,23.34,2.4,11.04,-44
MCS,21.55,0.39,-4.1,-97.3
MPX,34.55,7.82,22.25,-54
HZO,11.45,1.48,14.02,29.9
MKL,63.13,1.24,2.21,28.4
VAC,4.41k,1.44,-3.27,-63.8
MMC,28.88,7.04,24.5,-3.7
MLM,26.03,2.94,11.77,-0.6
MAS,24.04,NA,"1,303.70",-4.1
DOOR,32.2,3.99,13.43,-11.2
MTZ,11.28,2.04,19.6,-19.1
MA,47.01,52.51,125.61,-18.9
MTDR,12.12,0.64,-6.75,-37.1
MTRN,53.05,1.87,3.63,-8.9
MATX,25.21,2.72,11.19,-6.1
MLP,97.15,9.98,-25.6,-31.5
MAXR,12.67,1.98,-8.08,6.6
MMS,20.8,3.52,17.5,23.4
MXL,NA,4.54,-12.32,-21
MEC,40.91,0.95,0.57,-56.9
MBI,NA,1.08,-80.68,80.6
MKC,35.29,6.76,20.47,7.6
MCD,36.35,NA,NA,-30.5
MUX,NA,1.15,-35.74,-49.7
MCK,28.8,4.67,13.76,-0.1
MDU,13.33,1.64,12.82,4.6
MTL,2.6,NA,NA,NA
MDLA,NA,10.52,-33.4,20.8
MPW,22.07,1.37,6.85,50.8
MED,25.45,16.42,62.77,17.6
MDLY,NA,NA,NA,-33.4
MD,9.15,1.54,-67.51,-9.3
MDT,33.78,2.94,8.76,-13.2
MFAC,68.73,2.89,35.46,NA
MRK,19.24,7.23,37.85,-7.6
MCY,12.06,1.26,10.6,2.7
MDP,30.43,1.41,-21.97,-21.1
MTH,13.29,2.07,17.27,19.4
MTOR,7.06,5.08,63.09,-55.9
MTR,7.5,2.85,37.09,-53.7
MSB,15.81,25.48,117.21,-49.7
MEI,9.95,1.4,15.16,-29.3
MET,5.08,0.47,10.47,-19.4
MCB,7.87,0.79,10.85,43.9
MTD,46.3,54.84,114.62,-5.6
MFA,2.94,0.53,-20.8,38.6
MTG,7.09,0.8,12.3,0.6
MGP,65.48,3.27,1.77,-2.6
MGM,5.67,1.42,15.43,-91.2
MFGP,NA,0.22,-16.27,-12.2
MAA,41.66,2.35,5.66,1.4
AMPY,NA,1.41,-202.14,-40.9
MLR,11.12,1.3,12.23,-42.2
MTX,16.66,1.4,8.61,-23
MG,49.71,0.65,-42.5,-38
MUFG,17.98,0.36,0.6,0.8
